"Variable","PC1","PC2","PC3","PC4","PC5"
"LILATracts_1And10",0.325300818035453,0.323607604104864,0.0887740421306455,0.0547247991087624,0.375485619392694
"LILATracts_halfAnd10",0.132103769903092,0.474030600301942,0.194579897507317,0.217324922370833,-0.22805078020744
"LILATracts_1And20",0.325300818035465,0.323607604104876,0.0887740421306474,0.0547247991087638,0.375485619392708
"LATracts_half",0.0459074772742475,0.258333485624837,-0.466726945128462,-0.132360823214659,0.030697081393413
"LATracts1",0.286501075085943,-0.0571466194341386,-0.344715713603673,-0.224974412928578,0.490278313838538
"lapophalfshare",0.316123517331564,-0.0830092758450989,-0.397517854290211,-0.0114691973444973,-0.293515583506248
"lapop1share",0.31540266968797,-0.328328609239919,0.234961529598722,-0.143513548412733,0.0080229860974558
"lalowihalfshare",0.291000019217879,0.3178133073575,0.0470028503286519,0.176230795726774,-0.43529922578316
"lalowi1share",0.354983763977347,-0.00538358537149239,0.345195919314493,-0.0421818795501179,-0.0725565935506469
"lakidshalfshare",0.304703331129384,-0.0478820904651862,-0.309507648156295,-0.302414557882562,-0.354561896325193
"lakids1share",0.320585136367945,-0.270121278394155,0.233027551167713,-0.308754301163625,-0.0960295347863106
"laseniorshalfshare",0.16552199409325,-0.227350958482071,-0.333889859857751,0.678655285458294,0.0291958873822815
"laseniors1share",0.231501837432265,-0.391379798153312,0.116352567448367,0.421576009361855,0.089134471781955
